Date,True,Deep LSTM with 50-50-50-50 neuron,LSTM with 50-50-50-50 neuron and recurrent dropout,Shallow LSTM 50-50 neurons,Shallow LSTM 50-10 neurons,Shallow LSTM 10-10 neurons,Shallow LSTM 10-10 neurons without callback opt,Shallow LSTM 5-5 neurons without callback opt
2019-10-11,58.2845458984375,55.30762,50.77079,54.025684,52.12405,50.43773,50.78511,38.39682
2019-10-14,58.200645446777344,56.25101,50.8578,54.31006,52.363922,50.61772,50.995796,38.411892
2019-10-15,58.06494140625,57.09635,50.96179,54.62917,52.632828,50.815998,51.231365,38.43629
2019-10-16,57.830528259277344,57.39446,51.08567,54.944366,52.89811,51.01737,51.462845,38.463123
2019-10-17,58.0550651550293,57.152058,51.222813,55.225628,53.134727,51.206825,51.669853,38.4903
2019-10-18,58.333900451660156,56.822933,51.384098,55.48314,53.351803,51.391296,51.861034,38.516926
2019-10-21,59.34556198120117,56.7232,51.568474,55.725384,53.55675,51.571712,52.04293,38.54466
2019-10-22,59.20985794067383,57.20736,51.756924,55.998486,53.78691,51.77052,52.247334,38.56927
2019-10-23,60.0043830871582,57.766033,51.955452,56.263943,54.011063,51.96116,52.446606,38.59883
2019-10-24,60.10308074951172,58.410908,52.147774,56.553326,54.253983,52.1647,52.661133,38.62329
2019-10-25,60.84333419799805,58.874065,52.351315,56.844078,54.49771,52.367027,52.876194,38.651333
2019-10-28,61.452796936035156,59.32638,52.565063,57.15949,54.76081,52.583897,53.107166,38.67774
2019-10-29,60.03152847290039,59.834713,52.768135,57.50167,55.044106,52.813335,53.35517,38.70267
2019-10-30,60.02412414550781,59.52875,52.97579,57.760147,55.25993,52.992466,53.54427,38.73533
2019-10-31,61.38124084472656,58.87375,53.20316,57.957336,55.426765,53.14519,53.690044,38.76333
2019-11-01,63.123294830322266,58.92169,53.418327,58.178017,55.61126,53.313896,53.85258,38.78312
2019-11-04,63.53782653808594,60.121017,53.611824,58.490955,55.867928,53.52779,54.078262,38.798317
2019-11-05,63.446533203125,61.601894,53.813107,58.860825,56.16919,53.763382,54.341072,38.820393
2019-11-06,63.47367477416992,62.432102,54.03322,59.238514,56.476025,53.999905,54.60565,38.847157
2019-11-07,64.20624542236328,62.49404,54.25271,59.599598,56.76823,54.22923,54.855686,38.872673
2019-11-08,64.3819580078125,62.445984,54.471794,59.969162,57.065517,54.468025,55.10959,38.89392
2019-11-11,64.89179229736328,62.444763,54.681355,60.32834,57.353233,54.70131,55.355778,38.915035
2019-11-12,64.83238220214844,62.667187,54.904587,60.688557,57.641373,54.937634,55.602077,38.935055
2019-11-13,65.4535903930664,62.867012,55.13838,61.022713,57.90899,55.159367,55.83105,38.957855
2019-11-14,65.00069427490234,63.221832,55.38074,61.355232,58.17489,55.3822,56.058083,38.97766
2019-11-15,65.7728500366211,63.299248,55.6209,61.63921,58.40292,55.575462,56.253426,39.00156
2019-11-18,66.1044921875,63.52374,55.85604,61.92041,58.6282,55.769306,56.445637,39.018536
2019-11-19,65.90401458740234,63.896137,56.075962,62.197533,58.848976,55.957283,56.634842,39.034973
2019-11-20,65.13680267333984,64.06646,56.29535,62.44448,59.046524,56.12479,56.804077,39.053864
2019-11-21,64.84477233886719,63.68,56.49745,62.61647,59.186726,56.248928,56.924057,39.0735
2019-11-22,64.78783416748047,63.051662,56.687424,62.71954,59.274715,56.33756,56.999714,39.08974
2019-11-25,65.92381286621094,62.590565,56.852623,62.771065,59.322975,56.39799,57.043053,39.102123
2019-11-26,65.4090347290039,62.95807,56.995705,62.849735,59.390713,56.471313,57.104107,39.10619
2019-11-27,66.28763580322266,63.39836,57.142075,62.90914,59.443726,56.52349,57.154236,39.11996
2019-11-29,66.1416015625,64.02943,57.27274,63.002144,59.521126,56.590168,57.222733,39.126423
2019-12-02,65.37686920166016,64.415085,57.373867,63.097836,59.59831,56.65014,57.29062,39.135136
2019-12-03,64.21118927001953,64.11043,57.444683,63.14878,59.640446,56.681534,57.32682,39.144188
